ts,frame,x,y,z,v
1680172394076,69,7.346931617818557e-38,7.530597565460067e-38,1.4326512282694977e-37,1.4767368626842964e-37
1680172394076,69,4.203895392974451e-45,1.793662034335766e-43,8.389378055955151e-35,8.088401566593609e-35
1680172394076,69,1.3844763538231143e-34,1.3167651241508658e-34,9.367358361359341e-35,8.840773052417568e-35
1680172394076,69,8.991165156813298e-35,1.5800765475012794e-34,6.997624313033367e-35,8.539806320577493e-35
1680172394076,69,1.4446470857002003e-34,1.2340144544503039e-34,1.1362093066589326e-34,1.1512582746199724e-34
1680172394110,70,9.80908925027372e-45,3.363116314379561e-44,1.2269444252384375e-37,6.942849269010152e-38
1680172394110,70,6.68573566365952e-38,6.648989133769838e-38,8.816283861803616e-38,9.771458220793355e-38
1680172394110,70,4.203895392974451e-45,1.793662034335766e-43,1.3468498587203727e-34,1.753112759773426e-34
1680172394110,70,1.2490524021518047e-34,7.561829459004409e-35,8.276472627119261e-35,1.166287957126819e-34
1680172394110,70,1.3619047959886628e-34,9.932662089453173e-35,7.223236576444704e-35,8.163575807861137e-35
1680172394110,70,8.915964512840625e-35,1.166296566704584e-34,7.825124696348625e-35,8.915968530643582e-35
1680172394142,71,9.80908925027372e-45,3.363116314379561e-44,1.0653115978189529e-37,7.640792874097642e-38
1680172394142,71,9.07342997727862e-38,1.3665276531659554e-37,1.4032656631609748e-37,8.96323130552473e-38
1680172394142,71,4.203895392974451e-45,1.793662034335766e-43,9.404992547684885e-35,1.1587779946341292e-34
1680172394142,71,1.083546470975873e-34,8.53981033838045e-35,5.605780456530977e-35,1.2640751969964395e-34
1680172394142,71,1.000792242649835e-34,8.426955993039299e-35,9.028779254124059e-35,8.84072196892283e-35
1680172394142,71,8.35175764495403e-35,1.3769432028676445e-34,1.3017257989169226e-34,1.3017198296096723e-34
1680172394177,72,1.3995237146629713e-34,1.8433922182433903e-34,9.405012062727819e-35,7.185604686006563e-35
1680172394177,72,7.22324633396617e-35,1.0308808802279285e-34,1.1662963371158435e-34,8.953544171840326e-35
1680172394177,72,1.5650256280359462e-34,1.2866777493108443e-34,8.615068953510073e-35,1.4747501873689389e-34
1680172394177,72,1.2189598615651244e-34,7.599411413891514e-35,6.884718310225626e-35,1.4521837952811463e-34
1680172394177,72,8.690305183737507e-35,1.3167514636208123e-34,6.508597426132808e-35,2.859282962625005e-35
1680172394208,73,8.53982755753598e-35,1.3618952680559364e-34,8.690291982384935e-35,8.238916500965451e-35
1680172394208,73,9.517835413589017e-35,6.847080680068976e-35,8.69029542621604e-35,6.80947519233598e-35
1680172394208,73,1.2791487309527016e-34,8.615020165902739e-35,8.351684750528954e-35,1.1888559563357944e-34
1680172394208,73,1.7079681517777105e-34,1.512371746313762e-34,1.745585348536466e-34,1.1587824716145669e-34
1680172394208,73,1.1963883037306729e-34,1.1813471417868065e-34,9.066454192451023e-35,6.169964365543534e-35
1680172394243,74,1.527416811266215e-34,1.2415354372025327e-34,1.1061058606070835e-34,9.442607218967497e-35
1680172394243,74,8.690293704300488e-35,1.4070360878374354e-34,1.264103436411508e-34,8.539785083619007e-35
1680172394243,74,9.141642783014826e-35,9.404968440867144e-35,1.234015143216525e-34,1.5198924994772504e-34
1680172394243,74,1.1662992069750984e-34,8.088395826875099e-35,1.226489453895118e-34,7.411352406774733e-35
1680172394275,75,8.615088468553007e-35,9.631688469950887e-35,1.038404503250672e-34,9.254515495455209e-35
1680172394275,75,7.260904053137606e-35,8.163621725609216e-35,7.937965840337204e-35,6.696647249699974e-35
1680172394275,75,1.0007868473144356e-34,1.6101719579472147e-34,1.2340096330867556e-34,1.2490575678984636e-34
1680172394275,75,1.6553119741681223e-34,9.329782720162596e-35,1.5725524653010552e-34,1.0609719284877963e-34
1680172394275,75,1.4446613202021048e-34,1.6402600215534573e-34,7.674644774259694e-35,1.7305643043059768e-35
1680172394310,76,1.20391984756496e-34,1.7380620698968332e-34,7.825144211391559e-35,1.2791371367213116e-34
1680172394310,76,9.480204097122727e-35,6.16999708193904e-35,9.517820490320891e-35,1.1963940434491828e-34
1680172394310,76,8.050808706241335e-35,1.5951212680706219e-34,6.997591022666009e-35,8.163617707806259e-35
1680172394310,76,1.098586829359148e-34,8.464602806745565e-35,7.975485806264402e-35,1.2866718947979642e-34
1680172394343,77,1.865959873069255e-34,1.4070450417983108e-34,1.0835527846662338e-34,1.188864451119189e-34
1680172394343,77,1.11364291457114e-34,7.862651549938035e-35,1.73053856166846e-34,1.091071586325429e-34
1680172394343,77,8.539806894549344e-35,9.782194220773113e-35,1.2791525191669181e-34,1.4220833338829223e-34
1680172394343,77,1.2641020588790657e-34,1.1211591907541908e-34,1.4296115486804736e-34,1.3017247657675908e-34
1680172394343,77,1.542461187452447e-34,1.1512559787325685e-34,8.727923298851224e-35,2.4643151388331636e-35
1680172394376,78,7.072788222807576e-35,1.0308817985828901e-34,8.088422803552096e-35,5.718601511504772e-35
1680172394376,78,3.084958362939951e-35,8.389275314993824e-35,3.877031998271377e-34,1.401298464324817e-45
1680172394408,79,1.6477851369030133e-34,8.652718637075594e-35,1.6402549706011686e-34,9.329811418755146e-35
1680172394408,79,1.3543696935288996e-34,1.0534466983438702e-34,1.1362058628278267e-34,1.045926748740973e-34
1680172394408,79,9.216881883101515e-35,1.3167694863369333e-34,1.715488904941199e-34,8.427006502562186e-35
1680172394408,79,8.953541301981071e-35,1.0985975052355763e-34,1.1512472543604335e-34,1.3318140921119056e-34
1680172394442,80,1.2941882857753852e-34,1.5349429597651028e-34,7.937956656787588e-35,1.2340021714526927e-34
1680172394442,80,1.6703508402245847e-34,1.6778814657039102e-34,1.5123674989220646e-34,8.27653002430436e-35
1680172394442,80,1.6854074994084278e-34,1.1211669967713643e-34,9.593050980829816e-35,9.517814750602382e-35
1680172394442,80,7.223280198305379e-35,1.2189568769114992e-34,1.527416237294364e-34,1.2942013723335877e-34
